job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy
3,w0,delay_ft.B.4,38.0,4,96,1,COMPLETED_SUCCESSFULLY,38.0,36.0,74.0,0.0,36.0,0.0,4-7,-1
0,w0,delay_ft.B.1,0.0,1,149,1,COMPLETED_SUCCESSFULLY,0.0,88.0,88.0,0.0,88.0,0.0,0,-1
6,w0,delay_is.C.4,95.0,4,77,1,COMPLETED_SUCCESSFULLY,95.0,17.0,112.0,0.0,17.0,0.0,0 4-6,-1
4,w0,delay_ft.B.1,54.0,1,149,1,COMPLETED_SUCCESSFULLY,54.0,88.0,142.0,0.0,88.0,0.0,8,-1
7,w0,delay_is.C.2,121.0,2,87,1,COMPLETED_SUCCESSFULLY,121.0,27.0,148.0,0.0,27.0,0.0,0 4,-1
1,w0,delay_ft.C.2,4.0,2,399,1,COMPLETED_SUCCESSFULLY,4.0,266.0,270.0,0.0,266.0,0.0,1-2,-1
2,w0,delay_lu.B.1,16.0,1,420,1,COMPLETED_SUCCESSFULLY,16.0,279.0,295.0,0.0,279.0,0.0,3,-1
5,w0,delay_lu.B.1,70.0,1,420,1,COMPLETED_SUCCESSFULLY,70.0,280.0,350.0,0.0,280.0,0.0,9,-1
11,w0,delay_lu.B.8,153.0,8,109,1,COMPLETED_SUCCESSFULLY,350.0,49.0,399.0,197.0,246.0,1.8073394495412844,0-4 9 14-15,-1
13,w0,delay_is.B.1,168.0,1,70,1,COMPLETED_SUCCESSFULLY,399.0,9.0,408.0,231.0,240.0,3.3,2,-1
12,w0,delay_is.C.2,164.0,2,87,1,COMPLETED_SUCCESSFULLY,399.0,26.0,425.0,235.0,261.0,2.7011494252873565,0-1,-1
14,w0,delay_is.C.2,179.0,2,87,1,COMPLETED_SUCCESSFULLY,399.0,26.0,425.0,220.0,246.0,2.528735632183908,3-4,-1
9,w0,delay_lu.C.4,136.0,4,436,1,COMPLETED_SUCCESSFULLY,136.0,290.0,426.0,0.0,290.0,0.0,7 10-12,-1
16,w0,delay_ft.B.2,211.0,2,123,1,COMPLETED_SUCCESSFULLY,408.0,62.0,470.0,197.0,259.0,1.6016260162601625,2 15,-1
17,w0,delay_lu.B.4,221.0,4,148,1,COMPLETED_SUCCESSFULLY,425.0,88.0,513.0,204.0,292.0,1.3783783783783783,0-1 3-4,-1
15,w0,delay_lu.B.2,193.0,2,212,1,COMPLETED_SUCCESSFULLY,399.0,141.0,540.0,206.0,347.0,0.9716981132075472,9 14,-1
